N	2gram	Bakhtin_Pr_3	Dialekti
1	т е	12	46
2	и не	29	30
3	а не	9	18
4	и т	8	17
5	ничего не	4	17
6	может быть	19	17
7	то что	11	16
8	т д	2	15
9	стало быть	1	15
10	и в	34	15
11	как бы	27	14
12	точки зрения	8	14
13	так как	4	14
14	что это	5	13
15	по себе	3	13
16	того что	5	13
17	это не	5	12
18	в этом	16	11
19	и вот	5	11
20	говорить о	3	11
21	ясно что	1	11
22	в том	3	11
23	прежде всего	15	11
24	не может	19	11
25	и все	19	11
26	том что	3	10
27	в основе	1	10
28	потому что	12	10
29	с ее	3	10
30	она есть	1	10
31	это и	2	9
32	то же	14	9
33	было бы	2	9
34	с точки	4	9
35	в виду	3	9
36	и что	5	9
37	уже не	2	9
38	и пр	1	9
39	все это	16	9
40	в чем	5	8
41	не в	9	8
42	в себе	6	8
43	не только	10	8
44	ни в	4	8
45	и это	4	8
46	и о	1	8
47	и ее	2	8
48	не просто	1	7
49	что тут	1	7
50	и мы	1	7
51	он есть	2	7
52	как и	18	7
53	по крайней	3	7
54	и вообще	2	7
55	и его	16	7
56	что оно	2	7
57	только в	6	7
58	крайней мере	3	7
59	или в	1	7
60	что он	23	7
61	что в	7	7
62	перед нами	1	6
63	хотя и	3	6
64	надо чтобы	1	6
65	если бы	4	6
66	в то	12	6
67	же время	12	6
68	что и	5	6
69	так что	5	6
70	вовсе не	11	6
71	и даже	7	6
72	нет ничего	1	6
73	сказать что	2	6
74	ни на	1	6
75	если вы	1	5
76	той же	2	5
77	в сущности	11	5
78	и на	6	5
79	с его	6	5
80	сама по	2	5
81	в своем	2	5
82	то в	2	5
83	на то	1	5
84	в нем	19	5
85	в жизни	2	5
86	выйти за	1	5
87	что такое	2	5
88	же это	1	5
89	что я	15	5
90	в ней	3	5
91	но что	1	5
92	но только	2	5
93	того чтобы	1	5
94	тогда когда	1	5
95	как таковой	1	5
96	я не	7	5
97	таким образом	5	5
98	о том	2	5
99	в себя	1	5
100	так и	6	5
101	можно сказать	1	5
102	для того	1	5
103	и для	8	5
104	также и	1	4
105	хотя бы	5	4
106	что они	6	4
107	в этой	1	4
108	и как	3	4
109	с их	1	4
110	бы только	1	4
111	идеи и	1	4
112	не как	3	4
113	подобно тому	2	4
114	то ни	4	4
115	и с	15	4
116	этом смысле	4	4
117	с тем	5	4
118	она не	1	4
119	той или	2	4
120	что все	4	4
121	еще не	4	4
122	только так	2	4
123	в его	22	4
124	оказывается что	1	4
125	мы должны	5	4
126	с ними	6	4
127	в одном	5	4
128	не о	4	4
129	как раз	4	4
130	отнюдь не	2	4
131	так же	8	4
132	в особенности	1	4
133	тому как	2	4
134	но это	4	4
135	один из	2	4
136	лишь как	1	4
137	бы в	3	4
138	или не	1	4
139	жизни и	3	4
140	но и	12	4
141	себя как	2	3
142	отношения к	1	3
143	и то	3	3
144	что если	1	3
145	и тут	2	3
146	так чтобы	3	3
147	надо было	2	3
148	как в	4	3
149	с этим	2	3
150	когда он	2	3
151	и наконец	5	3
152	но в	16	3
153	та же	2	3
154	бы и	4	3
155	все эти	4	3
156	и если	2	3
157	на этом	4	3
158	об этом	1	3
159	мы уже	6	3
160	в данном	1	3
161	в один	1	3
162	в своей	3	3
163	в их	1	3
164	она в	2	3
165	только для	1	3
166	мы можем	1	3
167	найти в	1	3
168	нет ни	2	3
169	есть только	3	3
170	лежит в	2	3
171	вы не	2	3
172	сознания и	3	3
173	этот момент	1	3
174	и об	2	3
175	все на	1	3
176	быть и	2	3
177	д и	1	3
178	тотчас же	4	3
179	для всех	1	3
180	в виде	4	3
181	даже и	4	3
182	за пределы	2	3
183	себя и	8	3
184	что не	7	3
185	говорит о	2	3
186	ни о	1	3
187	когда она	2	3
188	я уже	2	3
189	и потому	2	3
190	из которых	1	3
191	что здесь	1	3
192	же есть	1	3
193	от него	6	3
194	и события	2	3
195	с ним	8	3
196	в свою	1	3
197	не говоря	1	3
198	только не	1	3
199	одних и	1	2
200	нем нет	1	2
201	можно говорить	1	2
202	человека и	1	2
203	и без	2	2
204	тех же	1	2
205	ведь и	3	2
206	и само	1	2
207	и ничего	1	2
208	что уже	1	2
209	вопрос о	2	2
210	есть нечто	1	2
211	совпадает с	2	2
212	бы ни	1	2
213	себе что	1	2
214	на нем	1	2
215	во всех	2	2
216	бы не	2	2
217	но как	4	2
218	себе и	5	2
219	нет и	3	2
220	чем же	1	2
221	вот как	3	2
222	все же	7	2
223	что по	1	2
224	себе не	1	2
225	в этот	2	2
226	в самом	8	2
227	в которой	2	2
228	ни один	1	2
229	же вы	2	2
230	тоже не	1	2
231	что даже	2	2
232	при этом	4	2
233	тем не	2	2
234	тут не	3	2
235	с этой	2	2
236	но все	5	2
237	в глубине	1	2
238	на все	1	2
239	лишь в	5	2
240	когда уже	2	2
241	это было	3	2
242	но именно	2	2
243	в них	2	2
244	все равно	4	2
245	и вне	1	2
246	должно быть	3	2
247	нисколько не	2	2
248	сказать так	1	2
249	в котором	3	2
250	по сравнению	1	2
251	говорил о	1	2
252	от себя	6	2
253	дает в	1	2
254	ибо мы	1	2
255	есть еще	1	2
256	однако в	2	2
257	для нее	1	2
258	можем сказать	1	2
259	что с	3	2
260	в отношении	9	2
261	не менее	3	2
262	то вы	1	2
263	думают что	1	2
264	и именно	1	2
265	случае не	1	2
266	никогда не	8	2
267	и по	1	2
268	во всем	3	2
269	как не	1	2
270	как будто	7	2
271	может и	1	2
272	что на	1	2
273	не могут	1	2
274	самостоятельности и	1	2
275	категорию и	1	2
276	а что	3	2
277	свою очередь	1	2
278	без всякого	1	2
279	в ее	3	2
280	и может	1	2
281	не их	1	2
282	слово о	7	2
283	мог бы	2	2
284	жизнь и	2	2
285	для этого	3	2
286	в разных	1	2
287	находится в	2	2
288	никогда и	1	2
289	о нем	2	2
290	никак не	1	2
291	и проявление	1	2
292	в пользу	1	2
293	и во	3	2
294	и требует	1	2
295	во всей	1	2
296	и только	2	2
297	выше в	1	2
298	одной из	1	2
299	и так	5	2
300	образа в	1	2
301	себя в	1	2
302	же и	2	2
303	итак в	1	2
304	конечно не	2	2
305	да еще	2	2
306	из них	5	2
307	был бы	2	2
308	и их	1	2
309	никто не	1	2
310	для меня	1	2
311	отличие от	2	2
312	тем что	4	2
313	самом же	1	2
314	не было	2	2
315	что человек	1	2
316	и тех	1	2
317	и нельзя	1	2
318	другой стороны	3	2
319	вместе с	4	2
320	в человеке	2	2
321	к своему	5	2
322	что же	8	2
323	да и	4	2
324	мы еще	1	2
325	быть не	1	2
326	или другого	2	2
327	художественное произведение	1	2
328	в аспекте	1	2
329	и слово	8	2
330	но для	3	2
331	интеллигенции но	1	2
332	не мог	5	2
333	и часто	1	2
334	это как	3	2
335	у достоевского	13	2
336	и ни	1	2
337	главным образом	1	2
338	только что	3	2
339	тут мы	1	2
340	а как	2	2
341	отношении к	7	2
342	что этот	1	2
343	возможно лишь	1	2
344	и при	1	2
345	оно не	1	2
346	того или	2	2
347	я могу	1	2
348	во всяком	5	2
349	а между	3	1
350	чтобы не	1	1
351	с кем	1	1
352	в сердце	1	1
353	утверждение что	1	1
354	на самом	11	1
355	он может	2	1
356	но тем	1	1
357	идет о	1	1
358	живое и	1	1
359	к другому	20	1
360	все те	2	1
361	и больше	1	1
362	и этот	2	1
363	будто что-то	1	1
364	бы уже	3	1
365	а где	1	1
366	да за	1	1
367	и фактически	1	1
368	он как	4	1
369	в каждый	1	1
370	но она	1	1
371	оно вообще	1	1
372	то это	1	1
373	конечно и	1	1
374	кто же	2	1
375	не одно	1	1
376	и он	2	1
377	очень часто	2	1
378	собою и	4	1
379	и иначе	1	1
380	собой в	1	1
381	на них	5	1
382	он сам	5	1
383	или все	1	1
384	всего этот	1	1
385	утверждения что	1	1
386	или во	1	1
387	без которого	1	1
388	все будет	1	1
389	в юности	1	1
390	видели что	1	1
391	жить и	1	1
392	не то	2	1
393	к богу	1	1
394	к слову	2	1
395	в общем	4	1
396	отношение к	6	1
397	тут же	1	1
398	мы сейчас	1	1
399	можно прямо	1	1
400	ни слова	1	1
401	процессе всего	1	1
402	явления что	1	1
403	никого и	1	1
404	трудно сказать	1	1
405	в одной	3	1
406	по которому	2	1
407	как к	4	1
408	совершенно другой	1	1
409	виду и	2	1
410	совершенно без	1	1
411	в полном	1	1
412	тот же	2	1
413	как характер	1	1
414	говорит не	1	1
415	в груди	1	1
416	говорят о	1	1
417	сказать о	1	1
418	за это	1	1
419	и основной	1	1
420	достоевского в	3	1
421	вы думаете	5	1
422	вообще а	1	1
423	и тот	1	1
424	утверждение в	2	1
425	роль в	1	1
426	но ведь	1	1
427	тут была	1	1
428	вообще не	2	1
429	как он	3	1
430	образ его	1	1
431	принять ее	1	1
432	наш анализ	1	1
433	к миру	1	1
434	человек не	1	1
435	он не	15	1
436	раз навсегда	1	1
437	что же?	1	1
438	чтобы они	1	1
439	когда все	2	1
440	всех этих	2	1
441	и совершенно	1	1
442	этого вопроса	1	1
443	и более	1	1
444	чтобы в	1	1
445	говорите что	1	1
446	я с	1	1
447	смысловых установок	1	1
448	в дурную	1	1
449	в нее	1	1
450	не бывает	2	1
451	чтобы дать	1	1
452	одно и	1	1
453	и заключается	1	1
454	а вместе	1	1
455	же не	2	1
456	сознание и	1	1
457	конечно в	2	1
458	это я	5	1
459	чуть не	1	1
460	а его	1	1
461	его в	4	1
462	входит в	2	1
463	как тот	1	1
464	с другими	4	1
465	или просто	1	1
466	данном случае	1	1
467	мне это	1	1
468	только одно	1	1
469	может еще	1	1
470	само собою	1	1
471	ни одной	1	1
472	что совершенно	1	1
473	всю жизнь	2	1
474	я говорит	1	1
475	переходим к	4	1
476	мы видели	3	1
477	меня но	1	1
478	теперь это	1	1
479	из нашего	1	1
480	такой же	3	1
481	же я	3	1
482	одного и	1	1
483	и становится	1	1
484	но я	2	1
485	что значит	2	1
486	бы на	1	1
487	мысль и	2	1
488	можно найти	1	1
489	этого необходимо	2	1
490	как все	1	1
491	мы замечаем	1	1
492	он должен	2	1
493	на месте	1	1
494	в который	1	1
495	установки и	1	1
496	знает и	7	1
497	еще с	1	1
498	никакого становления	1	1
499	в отличие	2	1
500	в которых	2	1
501	как символ	3	1
502	понятно что	2	1
503	и другого	3	1
504	всякий реальный	1	1
505	сам же	1	1
506	идея как	1	1
507	которые в	2	1
508	но он	3	1
509	друг другу	4	1
510	их в	3	1
511	что сам	2	1
512	тому чтобы	2	1
513	том же	1	1
514	своего признания	1	1
515	даже в	5	1
516	с последней	1	1
517	же такое	1	1
518	существует для	1	1
519	в процессе	1	1
520	слова но	1	1
521	в непрерывном	1	1
522	нельзя ли	1	1
523	во всякой	1	1
524	это мы	1	1
525	того и	1	1
526	даже слово	1	1
527	слово и	1	1
528	то вполне	1	1
529	одна из	1	1
530	именно с	1	1
531	и весь	1	1
532	и лишь	2	1
533	или как	2	1
534	того в	1	1
535	всех своих	1	1
536	его можно	1	1
537	и углубленной	1	1
538	такая же	2	1
539	есть это	1	1
540	и теперь	1	1
541	связи с	1	1
542	всего то	1	1
543	здесь же	1	1
544	смысле т	1	1
545	это уже	2	1
546	доказать что	1	1
547	время перед	1	1
548	ну а	1	1
549	у меня	6	1
550	а в	5	1
551	когда их	1	1
552	другой ее	1	1
553	а во-вторых	1	1
554	именно это	1	1
555	к себе	17	1
556	и религиозная	1	1
557	когда мы	1	1
558	человека в	1	1
559	зависимости от	1	1
560	его за	3	1
561	всего в	1	1
562	этого и	2	1
563	и чужой	1	1
564	введение в	1	1
565	они и	1	1
566	и свое	1	1
567	из их	1	1
568	и которая	1	1
569	приходит к	1	1
570	как мы	7	1
571	предмету но	1	1
572	чем не	2	1
573	е все	1	1
574	всего этого	2	1
575	не могу	3	1
576	в пределах	6	1
577	в дальнейшем	1	1
578	верит в	1	1
579	его самого	1	1
580	ибо она	1	1
581	что может	1	1
582	и себе	2	1
583	можно было	1	1
584	те же	2	1
585	больше в	1	1
586	было в	2	1
587	остаться в	1	1
588	лишь о	3	1
589	момент во	1	1
590	я знаю	1	1
591	говорил что	1	1
592	ними как	1	1
593	образом в	1	1
594	или прямо	1	1
595	частичное совпадение	1	1
596	и должно	2	1
597	только бы	1	1
598	мы могли	1	1
599	с одной	1	1
600	наконец на	1	1
601	были бы	2	1
602	после того	1	1
603	все его	2	1
604	время не	2	1
605	должно было	1	1
606	смысл т	1	1
607	к нему	14	1
608	нем не	1	1
609	событий и	1	1
610	поступков и	1	1
