N	2gram	Bakhtin_Pr	KFilosof
1	может быть	38	45
2	в его	44	42
3	в нем	38	32
4	не может	31	29
5	и не	66	28
6	и в	59	28
7	по отношению	17	26
8	в котором	6	24
9	для меня	2	22
10	отношению к	17	22
11	не есть	2	22
12	в себе	9	21
13	и его	21	18
14	только в	15	18
15	в своем	12	17
16	в ее	4	17
17	а не	30	17
18	в этом	40	15
19	не в	10	13
20	для него	23	13
21	точки зрения	36	13
22	но не	13	12
23	и это	5	12
24	к нему	13	12
25	ни в	5	12
26	мир в	4	12
27	в своей	17	11
28	во всех	8	11
29	все эти	12	11
30	это не	13	10
31	его целом	8	10
32	в целом	8	10
33	от себя	2	10
34	и для	5	10
35	в едином	6	10
36	все это	12	10
37	с точки	21	10
38	и есть	6	10
39	в их	5	9
40	но и	22	9
41	как бы	40	9
42	и все	4	9
43	момент его	3	9
44	себя в	5	8
45	если бы	12	8
46	не было	5	8
47	лишь в	4	8
48	со стороны	6	8
49	быть только	3	8
50	в мире	10	8
51	в единстве	7	8
52	жизни и	21	8
53	было бы	10	8
54	в себя	3	8
55	для себя	5	7
56	и здесь	5	7
57	совершенно не	2	7
58	то что	21	7
59	уже не	14	7
60	конечно не	7	7
61	и только	2	7
62	что и	10	7
63	вовсе не	13	7
64	ее и	2	6
65	должно быть	4	6
66	менее всего	4	6
67	отношение к	4	6
68	но эта	4	6
69	мира в	6	6
70	в том	17	6
71	смысл и	2	6
72	но все	8	6
73	не имеет	2	6
74	в смысле	4	6
75	место в	2	6
76	и их	7	6
77	я не	7	6
78	но это	7	6
79	он не	11	6
80	не значит	4	6
81	никогда не	19	5
82	принципиально не	2	5
83	его в	6	5
84	все же	9	5
85	не только	26	5
86	бытия в	3	5
87	мы имеем	2	5
88	но как	4	5
89	бы быть	3	5
90	его как	6	5
91	хотя бы	5	5
92	то же	15	5
93	жизни в	3	5
94	но ведь	4	5
95	еще не	11	5
96	не знает	5	5
97	а в	9	5
98	но в	7	5
99	в контексте	2	5
100	как и	21	5
101	именно в	8	5
102	что я	2	5
103	время и	2	5
104	в одном	14	5
105	там где	12	5
106	себя и	4	5
107	со всем	2	5
108	я и	2	5
109	с ним	13	5
110	мира но	2	5
111	в основе	6	5
112	в каком	2	4
113	тем самым	3	4
114	том что	15	4
115	нисколько не	2	4
116	что в	14	4
117	не как	15	4
118	и т.д	2	4
119	не по	3	4
120	ни было	4	4
121	о нем	16	4
122	быть в	2	4
123	прежде всего	17	4
124	в чем	2	4
125	здесь мы	3	4
126	к ним	3	4
127	в своих	5	4
128	мира и	8	4
129	входит в	11	4
130	нем как	2	4
131	для нас	3	4
132	с ними	3	4
133	при этом	5	4
134	во всей	2	4
135	должна быть	4	4
136	как его	2	4
137	между тем	5	4
138	до конца	11	3
139	лежат в	2	3
140	ничего не	8	3
141	ним и	4	3
142	в то	15	3
143	на самом	5	3
144	от него	3	3
145	здесь не	2	3
146	сознания и	9	3
147	человека и	2	3
148	всех этих	3	3
149	в каждом	11	3
150	этого мира	6	3
151	мира не	2	3
152	котором мы	2	3
153	от того	4	3
154	а лишь	3	3
155	это и	10	3
156	тем что	5	3
157	и тем	2	3
158	бы не	3	3
159	нигде не	6	3
160	для того	3	3
161	в момент	4	3
162	самом деле	9	3
163	тем как	4	3
164	в виду	2	3
165	людей и	2	3
166	себе и	3	3
167	лишь как	6	3
168	и пр	3	3
169	и единство	2	3
170	его жизни	2	3
171	нет и	4	3
172	нем и	2	3
173	не менее	3	3
174	только с	2	3
175	о том	5	3
176	в ней	8	3
177	вступает в	5	3
178	могут быть	5	3
179	но для	2	3
180	этом смысле	12	3
181	во мне	2	3
182	и этим	2	3
183	тогда когда	2	3
184	здесь нет	3	3
185	но здесь	2	3
186	и на	15	3
187	единство мира	3	3
188	в единство	8	3
189	что не	6	3
190	на своем	2	3
191	того что	4	3
192	мы не	3	3
193	той или	3	3
194	был бы	6	3
195	войти в	2	3
196	из его	4	3
197	рядом с	16	3
198	но конечно	3	3
199	тот же	4	3
200	бы и	6	3
201	отсюда и	2	3
202	не дает	4	3
203	не о	3	2
204	конечно в	2	2
205	кажется что	4	2
206	в мир	4	2
207	для этого	4	2
208	ее как	3	2
209	или иной	3	2
210	и потому	9	2
211	бы он	3	2
212	свою жизнь	2	2
213	в данном	3	2
214	его к	4	2
215	его с	2	2
216	его на	2	2
217	сознания в	2	2
218	видит и	5	2
219	говорить о	3	2
220	и ее	5	2
221	видения и	10	2
222	и эта	3	2
223	автора как	3	2
224	мысль не	3	2
225	не потому	4	2
226	то ни	3	2
227	к этому	6	2
228	вопрос о	4	2
229	это было	3	2
230	с ее	5	2
231	к себе	2	2
232	знает и	2	2
233	как к	3	2
234	и как	10	2
235	всей его	2	2
236	а как	8	2
237	и других	8	2
238	все они	4	2
239	были бы	5	2
240	в области	3	2
241	а с	4	2
242	одного и	2	2
243	он ни	2	2
244	что он	16	2
245	значимость и	2	2
246	из которых	3	2
247	вследствие этого	2	2
248	оценки и	2	2
249	нами в	5	2
250	нее в	2	2
251	этот мир	3	2
252	или как	5	2
253	все остальное	2	2
254	так и	13	2
255	отношении к	3	2
256	жизнь и	3	2
257	его и	4	2
258	в жизни	7	2
259	как в	10	2
260	как предмет	3	2
261	на первом	2	2
262	от этого	2	2
263	в сознании	4	2
264	сознания не	3	2
265	где она	2	2
266	тому что	3	2
267	она не	9	2
268	он может	4	2
269	но есть	2	2
270	не из	3	2
