N	2gram	Medvedev_S_1	Dialekti
1	и в	3	24
2	не только	3	23
3	и что	2	15
4	то что	2	14
5	может быть	2	13
6	таким образом	2	13
7	но и	2	9
8	том что	2	8
9	в этом	5	8
10	что в	2	7
11	это и	2	7
12	должна быть	2	6
13	все это	7	6
14	и только	3	6
15	то же	2	6
16	как же	3	5
17	в том	5	5
18	только как	2	5
19	было бы	2	5
20	только в	2	5
21	за пределы	2	3
22	диалектический материализм	2	3
23	не в	3	3
24	тем более	2	3
25	как бы	2	3
26	в частности	2	2
27	в смысле	2	2
28	для нас	3	2
29	еще не	2	2
30	по существу	2	2
31	ведь это	2	2
32	в его	3	2
