N	2gram	Bakhtin_Fr_1	PoTuStor
1	может быть	6	17
2	и в	65	16
3	и пр	5	12
4	прежде всего	11	9
5	в этом	15	9
6	совершенно не	4	8
7	и его	10	8
8	и с	3	8
9	точки зрения	7	8
10	не может	3	8
11	с его	5	7
12	сказать что	6	7
13	не только	10	7
14	и это	2	6
15	и к	4	6
16	с точки	3	6
17	самом деле	3	6
18	для него	5	6
19	при этом	6	6
20	отношение к	4	5
21	все эти	10	5
22	в чем	2	5
23	еще не	6	5
24	как бы	22	5
25	в нем	13	4
26	и их	3	4
27	но и	10	4
28	так и	10	4
29	все это	9	4
30	и все	5	4
31	мысли и	4	4
32	так как	6	4
33	и не	22	4
34	на самом	6	4
35	как мы	6	4
36	можно сказать	2	4
37	и наконец	2	4
38	и даже	8	4
39	и на	11	4
40	в этой	4	4
41	только в	7	4
42	его в	7	4
43	но в	14	4
44	в его	9	4
45	во время	4	3
46	на этой	3	3
47	в этих	2	3
48	что в	3	3
49	жизни и	7	3
50	во всех	9	3
51	и др	24	3
52	могут быть	2	3
53	сих пор	4	3
54	в большинстве	2	3
55	отношения к	2	3
56	в одном	5	3
57	к себе	2	3
58	и вот	2	3
59	большинстве случаев	2	3
60	в том	16	3
61	том что	6	3
62	с их	5	3
63	то что	3	3
64	их в	2	3
65	в основе	8	3
66	только на	2	3
67	в общем	4	3
68	мира и	4	3
69	в области	7	3
70	в основном	2	3
71	и потому	10	3
72	до сих	4	3
73	между ними	4	3
74	нет и	2	2
75	поэтому и	4	2
76	не могут	3	2
77	в частности	5	2
78	никогда не	6	2
79	что не	2	2
80	в них	5	2
81	во всей	3	2
82	и так	2	2
83	из этих	2	2
84	в жизни	4	2
85	в свое	2	2
86	не знает	6	2
87	на них	2	2
88	и других	3	2
89	что он	3	2
90	и т.п	17	2
91	что мы	2	2
92	и по	2	2
93	и для	2	2
94	нам кажется	2	2
95	для нас	4	2
96	как и	5	2
97	на ранних	2	2
98	мы видим	2	2
99	но это	3	2
100	всей их	3	2
101	и образы	2	2
102	есть в	5	2
103	мы уже	12	2
104	по своему	8	2
105	он не	2	2
106	образов и	2	2
107	и этим	2	2
108	при всей	2	2
109	три основных	2	2
110	всех его	2	2
111	характерно для	3	2
112	на протяжении	5	2
113	и вообще	3	2
114	о том	2	2
115	из тех	2	2
116	в самом	4	2
117	но как	3	2
118	за пределы	8	2
119	в своей	5	2
120	с ним	3	2
121	в мир	2	2
