N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	40
2	и не	8	30
3	по себе	2	25
4	и в	14	18
5	ничего не	2	17
6	может быть	6	17
7	а не	10	14
8	то что	7	13
9	не только	10	13
10	если бы	2	12
11	было бы	3	12
12	в этом	7	12
13	не может	7	12
14	что он	2	11
15	все это	5	11
16	в себе	2	11
17	прежде всего	8	10
18	то же	5	10
19	что такое	4	10
20	это не	3	9
21	в том	2	9
22	том что	2	9
23	и то	3	9
24	но это	2	8
25	но и	4	7
26	что она	2	7
27	с другой	4	6
28	хотя бы	5	6
29	не в	2	6
30	в то	3	6
31	но в	3	6
32	все же	3	5
33	и с	2	5
34	по крайней	2	4
35	в конце	2	4
36	как таковой	2	4
37	крайней мере	2	4
38	но не	2	4
39	же время	3	4
40	не о	3	4
41	другой стороны	3	4
42	как раз	2	4
43	всех этих	2	3
44	этом смысле	2	3
45	должна быть	2	3
46	что и	2	3
47	конечно не	4	3
48	в его	2	3
49	в их	4	3
50	в самом	2	3
51	тех или	2	3
52	самом деле	2	3
53	конце концов	2	3
54	могут быть	2	3
55	даже и	2	3
56	только в	2	3
57	бы и	2	2
58	а о	2	2
59	в частности	3	2
60	не как	3	2
61	но конечно	2	2
62	ни было	3	2
63	как и	3	2
64	мы и	2	2
65	для него	3	2
66	до сих	2	2
67	о чем	2	2
68	и является	2	2
69	в своей	3	2
70	сих пор	2	2
71	для этого	3	2
72	этом отношении	2	2
73	и у	2	2
74	форму и	2	2
75	и для	2	2
76	именно как	2	2
77	мы получаем	2	2
78	ни от	2	2
79	это было	2	2
