N	3gram	Tiupa_Anal	TeoriaLi
1	в том что	13	10
2	по отношению к	9	10
3	не сводится к	2	9
4	в то же	9	8
5	я в мире	2	8
6	то же время	7	8
7	кадров внутреннего зрения	4	7
8	в отличие от	8	7
9	в конечном счете	5	6
10	присутствия в мире	3	6
11	состоит в том	6	6
12	с другой стороны	2	6
13	более или менее	2	6
14	того или иного	3	6
15	так и не	5	5
16	в данном случае	3	5
17	для того чтобы	3	5
18	не может быть	17	5
19	организации художественного текста	2	4
20	в силу своей	3	4
21	и того же	2	4
22	факторов художественного впечатления	8	4
23	одного и того	2	4
24	с точки зрения	6	3
25	с одной стороны	6	3
26	в этом смысле	3	3
27	в том числе	3	3
28	тем не менее	3	3
29	подобно тому как	5	3
30	той или иной	8	3
31	субъектной организации художественного	2	3
32	значении этого слова	7	3
33	в равной степени	2	3
34	тех или иных	3	3
35	в связи с	2	3
36	то ни было	3	2
37	одно и то	2	2
38	совокупность факторов художественного	2	2
39	бы то ни	3	2
40	коем случае не	2	2
41	не только не	2	2
42	в коем случае	2	2
43	и то же	2	2
44	бенвенист ритм манифестирован	2	2
45	в известном смысле	2	2
46	в сочетании с	7	2
47	в самом начале	3	2
48	в таком случае	5	2
49	в данный момент	2	2
50	с легкой руки	2	2
51	этой точки зрения	2	2
52	в самом деле	3	2
53	в нашем случае	3	2
54	как уже говорилось	3	2
55	том что он	2	2
56	мы имеем дело	7	2
57	к тому что	2	2
58	я героя как	2	2
59	с этой точки	2	2
60	в соответствии с	2	2
61	во внешнем мире	2	2
62	и тем самым	2	2
63	и в самом	3	2
64	как и в	2	2
65	ни в коем	2	2
66	вокруг я героя	2	2
67	в основе своей	2	2
68	как совокупность факторов	2	2
69	не могут быть	2	2
70	но в то	2	2
