N	2gram	Vinokur_St_2	VeschiIm
1	т е	10	42
2	не может	2	33
3	не только	19	31
4	может быть	2	29
5	и не	9	28
6	и в	29	26
7	то что	11	24
8	и т	9	21
9	т д	6	20
10	а не	5	20
11	что я	2	16
12	только в	2	14
13	и что	6	13
14	того что	5	13
15	по себе	3	13
16	что это	3	12
17	было бы	5	12
18	но и	19	12
19	сказать что	2	12
20	все же	6	12
21	таким образом	10	11
22	с нею	3	11
23	то же	2	10
24	в ней	7	10
25	как бы	5	10
26	потому что	9	10
27	что такое	2	10
28	в том	27	9
29	в самом	7	9
30	бы то	2	9
31	и с	4	9
32	ни было	2	9
33	прежде всего	5	9
34	то ни	2	9
35	еще и	3	9
36	на то	2	8
37	но это	3	8
38	в себе	2	8
39	и это	2	8
40	ничего не	4	8
41	совершенно не	2	7
42	также и	2	7
43	в то	2	7
44	его в	2	7
45	так как	2	7
46	том что	27	7
47	как раз	8	7
48	и пр	8	7
49	в этом	21	7
50	так что	3	6
51	и как	2	6
52	что они	2	6
53	что в	19	6
54	для него	4	6
55	ни с	2	6
56	со стороны	2	6
57	в результате	2	6
58	точки зрения	5	6
59	но в	8	6
60	не менее	3	5
61	в отношении	2	5
62	вообще не	3	5
63	с этой	2	5
64	тем не	2	5
65	не в	4	5
66	с тем	7	5
67	если бы	2	5
68	в ее	2	5
69	у нас	3	5
70	но не	3	5
71	того же	2	5
72	на себя	3	5
73	я не	7	4
74	в своем	9	4
75	с другой	4	4
76	из них	3	4
77	в их	3	4
78	в и	13	4
79	и даже	3	4
80	с этим	3	4
81	о том	17	4
82	и более	2	4
83	как и	2	4
84	и о	4	4
85	и потому	2	4
86	на почве	2	4
87	нет и	2	4
88	оно не	3	4
89	что и	2	4
90	этот вопрос	2	4
91	с точки	2	4
92	в данном	2	4
93	тем что	3	4
94	никогда не	3	3
95	вопрос о	6	3
96	есть еще	2	3
97	что именно	2	3
98	к тому	10	3
99	несмотря на	2	3
100	более или	2	3
101	и сам	2	3
102	в нем	4	3
103	все это	11	3
104	в чисто	2	3
105	на это	2	3
106	в одном	6	3
107	что он	13	3
108	между прочим	12	3
109	в своей	7	3
110	вместе с	7	3
111	так и	9	3
112	или менее	2	3
113	а с	3	3
114	в той	5	3
115	самом деле	3	3
116	того чтобы	6	3
117	хотя бы	3	3
118	ему не	2	3
119	не то	3	3
120	и вообще	2	3
121	на вопрос	3	2
122	в частности	4	2
123	тому что	7	2
124	была бы	5	2
125	что на	3	2
126	ни в	3	2
127	но все	7	2
128	что ему	3	2
129	кроме того	4	2
130	которая была	2	2
131	у меня	3	2
132	в виду	7	2
133	суждения о	2	2
134	оба эти	3	2
135	не мог	3	2
136	так же	3	2
137	конечно и	2	2
138	свое выражение	2	2
139	как это	2	2
140	но они	2	2
141	находим в	2	2
142	о чем	5	2
143	бы ни	2	2
144	о которых	2	2
145	а затем	2	2
146	в качестве	5	2
147	никак не	2	2
148	об этом	6	2
149	он не	9	2
150	только к	2	2
151	как в	3	2
152	тогда как	2	2
153	если не	2	2
154	еще более	4	2
155	для того	7	2
156	тем же	2	2
157	и его	6	2
158	из его	2	2
159	во всяком	3	2
160	выражение в	2	2
161	отношении к	3	2
162	дело в	4	2
163	в особенности	2	2
164	не потому	2	2
165	это было	2	2
