N	2gram	Medvedev_V_1	TeoriaLi
1	и не	1	16
2	и в	2	13
3	в частности	1	13
4	в этом	1	11
5	в том	2	11
6	и его	1	10
7	то же	1	9
8	сводится к	1	8
9	том что	2	7
10	только в	1	7
11	в самом	1	5
12	в их	1	4
13	и то	1	3
14	а только	1	3
15	и т.д	1	3
16	потому что	1	3
17	так в	1	3
18	в другом	1	3
19	именно в	1	3
20	ни к	1	3
21	речи и	1	3
22	я не	1	2
23	одно и	1	2
24	а.н веселовского	2	2
25	говоря иначе	1	2
26	в конце	2	2
27	и составляет	1	2
28	говоря о	1	1
29	столь же	1	1
30	время в	1	1
31	прозы в	1	1
32	более чем	1	1
33	к чему	1	1
34	то я	1	1
35	по существу	1	1
36	теории литературы	1	1
37	по крайней	1	1
38	дело в	1	1
39	и заключается	1	1
40	значительной степени	1	1
41	в значительной	1	1
42	и только	1	1
43	крайней мере	1	1
44	ведь это	1	1
45	так как	1	1
46	по своим	1	1
47	за свою	1	1
48	да и	1	1
49	все это	1	1
50	этом и	1	1
51	собственно и	1	1
52	по поводу	1	1
