N	4gram	Bakhtin_sl_2	Problema
1	в то же время	4	3
2	ни в чем не	2	2
3	и в то же	1	2
4	между тем как в	1	2
5	никогда не может быть	2	1
6	в нем не только	1	1
7	с одной стороны и	3	1
8	и не может быть	1	1
9	во всех его моментах	1	1
10	в значительной степени и	1	1
11	на нем и с	1	1
12	может иметь место в	1	1
13	не для того чтобы	1	1
14	именно в том что	1	1
15	как убираются леса когда	1	1
16	не может быть конечно	1	1
17	но в то же	3	1
18	а также и в	1	1
19	все снова и снова	1	1
20	точка зрения на мир	1	1
