N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	40
2	то есть	4	18
3	и его	8	17
4	прежде всего	10	16
5	в романе	3	15
6	в этом	13	15
7	мы уже	3	13
8	не только	11	13
9	и не	29	13
10	в его	10	13
11	что в	4	12
12	вовсе не	5	12
13	как и	14	11
14	но и	14	11
15	таким образом	5	10
16	как мы	10	10
17	в них	4	9
18	и все	6	9
19	в сущности	9	9
20	может быть	23	9
21	он не	9	9
22	во время	4	8
23	отношение к	2	8
24	в том	6	8
25	и до	4	8
26	у него	6	8
27	все эти	5	8
28	и с	5	8
29	той же	3	8
30	и на	10	8
31	но в	10	8
32	в своем	4	7
33	в одном	12	7
34	и др	2	7
35	то же	8	7
36	он и	3	7
37	в виду	3	7
38	в этих	6	6
39	же время	5	6
40	в самом	7	6
41	во всех	4	6
42	в своей	4	6
43	в той	5	6
44	в то	7	6
45	до конца	4	6
46	он говорит	2	6
47	со всеми	3	5
48	как раз	4	5
49	в нем	12	5
50	то что	7	5
51	а не	7	5
52	и для	3	5
53	в своих	2	5
54	так сказать	6	5
55	для него	8	5
56	у нас	2	4
57	том что	2	4
58	здесь в	3	4
59	до сих	7	4
60	было бы	5	4
61	из них	2	4
62	даже в	3	4
63	ни в	2	4
64	сих пор	7	4
65	в их	3	4
66	все это	5	4
67	еще более	2	4
68	только на	3	4
69	о том	5	4
70	и о	2	4
71	особенно в	2	4
72	и даже	3	4
73	также и	3	4
74	и вы	2	4
75	и здесь	3	4
76	так как	4	4
77	в эту	3	4
78	с его	4	3
79	если бы	3	3
80	в приведенном	3	3
81	для понимания	2	3
82	и к	3	3
83	об этом	2	3
84	он был	3	3
85	но это	4	3
86	уже говорили	3	3
87	для этого	2	3
88	одна из	2	3
89	кроме того	3	3
90	еще не	9	3
91	никак не	5	3
92	и следовательно	3	3
93	как бы	22	3
94	о нем	6	3
95	со всею	3	3
96	и наконец	6	3
97	что и	3	3
98	и мысли	2	3
99	так и	3	3
100	как в	2	3
101	мы чувствуем	2	3
102	по отношению	5	3
103	не может	18	3
104	этого нельзя	2	3
105	а в	5	3
106	там где	4	3
107	самом деле	5	3
108	слово в	8	3
109	между ними	4	3
110	и как	2	3
111	но все	2	3
112	можно было	3	3
113	сказать что	2	3
114	между тем	3	3
115	тем что	3	3
116	при этом	6	3
117	же и	4	3
118	в отличие	4	3
119	в себе	5	3
120	в другом	7	3
121	во всем	3	3
122	только в	4	3
123	но ведь	5	3
124	в конце	2	3
125	и самое	2	3
126	здесь не	6	3
127	их в	4	3
128	отличие от	4	3
129	слова в	12	2
130	не менее	3	2
131	есть и	3	2
132	уже в	2	2
133	времени и	2	2
134	не был	2	2
135	хотя бы	2	2
136	с другой	4	2
137	это не	3	2
138	и так	2	2
139	из этих	2	2
140	но здесь	5	2
141	он с	3	2
142	что было	2	2
143	быть в	2	2
144	что он	13	2
145	я готов	2	2
146	или иной	3	2
147	как его	4	2
148	все же	3	2
149	своей жизни	2	2
150	тонах и	2	2
151	даны в	3	2
152	его романе	2	2
153	но не	5	2
154	в последнем	3	2
155	мы увидим	5	2
156	конечно не	2	2
157	и сам	7	2
158	в первой	2	2
159	например в	2	2
160	к нему	5	2
161	том же	4	2
162	и очень	2	2
163	той или	3	2
164	в котором	6	2
165	здесь нет	3	2
166	слова и	12	2
167	отношению к	5	2
168	дело в	2	2
169	в целом	2	2
170	вот как	4	2
171	он воспринимает	3	2
172	теперь он	2	2
173	в форме	2	2
174	всем этим	2	2
175	и они	2	2
176	здесь мы	2	2
177	лишь в	8	2
178	это вовсе	2	2
179	должны быть	2	2
180	тем же	2	2
181	рядом с	5	2
182	с этим	2	2
183	но он	4	2
184	тона и	2	2
185	точки зрения	13	2
186	и ее	3	2
187	и еще	2	2
188	его к	2	2
189	далеко не	4	2
190	этого слова	2	2
191	как он	2	2
192	и это	4	2
193	но конечно	2	2
194	того же	3	2
195	мы не	4	2
