N	2gram	Bakhtin_Pr_3	Stilisti
1	и в	34	42
2	как бы	27	27
3	не только	10	27
4	прежде всего	15	22
5	внутренней речи	4	18
6	хотя бы	5	17
7	но и	12	15
8	то же	14	15
9	и не	29	14
10	может быть	19	12
11	не может	19	12
12	точки зрения	8	11
13	как и	18	11
14	мы уже	6	11
15	и как	3	10
16	мы должны	5	10
17	отнюдь не	2	10
18	как мы	7	10
19	в этом	16	10
20	при этом	4	9
21	в то	12	9
22	то что	11	9
23	все же	7	8
24	в ней	3	8
25	таким образом	5	8
26	с тем	5	8
27	что же	8	8
28	эти слова	3	8
29	в себе	6	8
30	и это	4	8
31	никогда не	8	7
32	и от	5	7
33	же время	12	7
34	и на	6	7
35	потому что	12	7
36	так как	4	7
37	с его	6	7
38	было бы	2	7
39	а не	9	7
40	и его	16	7
41	только в	6	7
42	в которой	2	7
43	ничего не	4	7
44	или иной	2	6
45	не в	9	6
46	на его	4	6
47	в форме	2	6
48	в конце	5	6
49	и так	5	6
50	в нем	19	6
51	во всех	2	6
52	так и	6	6
53	или как	2	6
54	слова в	7	5
55	уже в	3	5
56	тому что	2	5
57	не является	2	5
58	мы видели	3	5
59	те же	2	5
60	а в	5	5
61	и с	15	5
62	и наконец	5	5
63	того или	2	5
64	точек зрения	2	5
65	в его	22	5
66	вместе с	4	5
67	в той	2	5
68	с точки	4	5
69	той же	2	5
70	слова и	10	5
71	самого начала	8	4
72	все время	5	4
73	что это	5	4
74	и без	2	4
75	его внутренней	4	4
76	в каждом	3	4
77	того времени	2	4
78	к тому	5	4
79	с самого	8	4
80	но все	5	4
81	о своей	2	4
82	было в	2	4
83	в самом	8	4
84	на другого	2	4
85	той или	2	4
86	один из	2	4
87	на слушателя	2	4
88	все это	16	4
89	того что	5	4
90	так же	8	4
91	о том	2	4
92	его в	4	4
93	бы в	3	4
94	но в	16	4
95	если бы	4	4
96	внутренняя речь	3	4
97	были бы	2	4
98	и к	12	4
99	мы увидим	2	4
100	если б	2	4
101	слово не	2	4
102	на него	7	4
103	а с	3	4
104	к своему	5	4
105	уже не	2	4
106	самом деле	13	4
107	в слове	5	4
108	и то	3	4
109	так сказать	2	4
110	его и	3	3
111	что у	6	3
112	это не	5	3
113	этом случае	2	3
114	словом и	3	3
115	слова о	4	3
116	не мог	5	3
117	но для	3	3
118	хотя и	3	3
119	в котором	3	3
120	в целом	5	3
121	из них	5	3
122	жизни и	3	3
123	что оно	2	3
124	и вот	5	3
125	лишь в	5	3
126	и даже	7	3
127	нуждается в	3	3
128	их в	3	3
129	сказать что	2	3
130	в начале	4	3
131	та же	2	3
132	в виду	3	3
133	вследствие этого	2	3
134	и все	19	3
135	в одном	5	3
136	этого слова	7	3
137	в ее	3	3
138	том что	3	3
139	еще не	4	3
140	конечно не	2	3
141	нет и	3	3
142	что и	5	3
143	да и	4	3
144	только на	4	3
145	слова как	2	3
146	на самом	11	3
147	если не	3	3
148	и слово	8	3
149	что такое	2	3
150	и для	8	3
151	слов в	3	3
152	конце концов	3	3
153	внутренней жизни	2	3
154	внутреннюю речь	4	3
155	не знает	6	3
156	в душе	2	2
157	бы и	4	2
158	друг другу	4	2
159	и речь	2	2
160	вопрос о	2	2
161	в мире	4	2
162	слова мы	2	2
163	в том	3	2
164	тому же	2	2
165	но это	4	2
166	для него	13	2
167	до конца	3	2
168	в пределах	6	2
169	и сам	5	2
170	в него	3	2
171	себе и	5	2
172	не с	2	2
173	отношение к	6	2
174	о них	2	2
175	в отношении	9	2
176	не было	2	2
177	все эти	4	2
178	сделать его	2	2
179	у человека	2	2
180	должно быть	3	2
181	в которых	2	2
182	каждый из	2	2
183	даже и	4	2
184	теперь же	2	2
185	человека с	3	2
186	к которому	2	2
187	я и	2	2
188	в жизни	2	2
189	смысле этого	2	2
190	однако в	2	2
191	это слово	5	2
192	с этим	2	2
193	своего героя	2	2
194	что он	23	2
195	а к	2	2
196	должна была	2	2
197	но не	4	2
198	по своему	3	2
199	тот же	2	2
200	несколько дальше	2	2
201	и потому	2	2
202	и этот	2	2
203	и определяется	2	2
204	войти в	2	2
205	слова не	2	2
206	в своей	3	2
207	в кругозор	2	2
208	как в	4	2
209	бы не	2	2
210	другого человека	5	2
211	к чему	2	2
212	и он	2	2
213	про себя	3	2
214	к нему	14	2
215	с ним	8	2
216	да еще	2	2
217	между двумя	2	2
218	тем что	4	2
219	и вообще	2	2
220	глаза и	2	2
221	которые в	2	2
222	этот другой	2	2
