N	2gram	Vygotskiy__7	Russkaja
1	не может	11	22
2	и не	18	19
3	в том	18	17
4	в этом	29	17
5	и в	26	14
6	с другом	2	14
7	друг с	2	14
8	то что	24	13
9	самим собой	2	12
10	таким образом	23	11
11	то же	8	11
12	точки зрения	28	11
13	но и	11	10
14	в то	3	10
15	том что	17	9
16	не только	24	9
17	в себе	9	9
18	с точки	21	9
19	может быть	7	9
20	во всяком	2	9
21	прежде всего	7	8
22	того чтобы	19	8
23	как на	6	8
24	к тому	7	7
25	самом деле	6	7
26	в данном	5	7
27	мы должны	6	7
28	о том	4	7
29	и с	5	7
30	признать что	2	6
31	если бы	5	6
32	на самом	3	6
33	что он	8	6
34	и к	7	6
35	и при	2	6
36	с тем	5	6
37	для него	3	6
38	для того	18	6
39	если в	4	6
40	все это	3	6
41	и для	5	6
42	в своих	2	6
43	себя и	2	5
44	между собой	6	5
45	вопрос о	6	5
46	на то	4	5
47	до сих	3	5
48	было бы	6	5
49	в своей	3	5
50	он не	3	5
51	никогда не	4	5
52	в нем	2	5
53	сих пор	3	5
54	во всех	6	5
55	и только	4	5
56	из которых	2	5
57	а в	2	5
58	потому что	16	5
59	только в	8	5
60	но не	3	4
61	не могут	4	4
62	что в	12	4
63	тогда когда	5	4
64	как и	15	4
65	все что	6	4
66	как бы	6	4
67	все же	6	4
68	вместе с	12	4
69	что же	2	4
70	в их	2	4
71	приводит к	4	4
72	точку зрения	2	4
73	не в	4	4
74	можно было	2	4
75	и то	7	4
76	в этой	3	4
77	во всем	3	4
78	в его	4	4
79	его в	2	4
80	так как	14	4
81	к этой	2	4
82	что это	6	3
83	можно ли	2	3
84	именно в	6	3
85	в большинстве	2	3
86	из этих	3	3
87	в конце	4	3
88	что все	2	3
89	о которых	2	3
90	этом случае	14	3
91	то в	2	3
92	лишь в	2	3
93	что они	10	3
94	должно быть	2	3
95	в качестве	5	3
96	лучшем случае	2	3
97	еще не	4	3
98	несмотря на	2	3
99	в самом	9	3
100	мы говорили	2	3
101	одной из	4	3
102	но если	2	3
103	и потому	3	3
104	для этого	3	3
105	но мы	3	3
106	что и	3	3
107	не есть	4	3
108	данном случае	5	3
109	только к	2	3
110	что оно	4	3
111	того что	14	3
112	ко всем	2	3
113	и по	3	3
114	друг друга	4	3
115	что для	2	3
116	в лучшем	2	3
117	или в	2	3
118	тем что	9	3
119	и во	4	3
120	себя от	2	3
121	связи с	4	3
122	из этого	2	3
123	она может	2	3
124	в сознании	6	3
125	которой она	2	2
126	и есть	2	2
127	по этому	4	2
128	в меру	7	2
129	друг другу	3	2
130	были бы	3	2
131	его и	2	2
132	и от	4	2
133	с этим	2	2
134	точно так	2	2
135	состоит в	3	2
136	представить себе	3	2
137	по себе	3	2
138	и вместе	2	2
139	том и	3	2
140	ни в	2	2
141	так что	4	2
142	деятельности и	3	2
143	из всех	5	2
144	это есть	4	2
145	но это	3	2
146	естественно что	3	2
147	является не	2	2
148	не можем	4	2
149	отличается от	3	2
150	что с	5	2
151	она не	5	2
152	совершенно не	2	2
153	от друга	2	2
154	и о	3	2
155	но для	2	2
156	в ней	3	2
157	и является	3	2
158	могут не	2	2
159	в котором	4	2
160	для нее	3	2
161	если же	2	2
162	для себя	24	2
163	приводят к	2	2
164	и тем	6	2
165	этом и	2	2
166	благодаря этому	2	2
167	друг от	2	2
168	для нас	2	2
169	время в	2	2
170	ее в	8	2
171	на основании	2	2
172	тому что	9	2
173	целый ряд	4	2
174	по отношению	6	2
175	даже если	2	2
176	отношения к	2	2
177	все эти	6	2
178	и состоит	3	2
179	только на	3	2
180	и что	6	2
181	тем самым	8	2
182	а не	6	2
183	и наконец	4	2
184	к нему	3	2
185	так же	14	2
186	том же	2	2
187	в силу	5	2
188	мы можем	3	2
189	мы уже	3	2
190	в начале	5	2
191	последнее время	3	2
192	во время	2	2
193	в этих	2	2
194	большинстве случаев	2	2
195	с ним	3	2
196	в области	4	2
197	но в	4	2
