N	2gram	Berdyaev_V_1	Istorich
1	что он	4	24
2	и т	2	19
3	не только	2	18
4	т д	2	18
5	никогда не	3	15
6	и в	16	15
7	но и	5	14
8	так как	9	14
9	что в	3	12
10	а в	2	12
11	то что	9	12
12	в этих	3	11
13	и не	20	11
14	в этом	4	11
15	что они	7	10
16	с тем	2	9
17	еще не	8	9
18	потому что	4	9
19	один из	2	8
20	том что	2	7
21	в нем	4	7
22	не в	3	7
23	в его	4	6
24	как бы	5	6
25	то это	3	6
26	что и	3	6
27	и что	3	6
28	в том	3	6
29	только в	2	6
30	но в	3	6
31	и есть	4	5
32	прежде всего	2	5
33	к тому	3	5
34	в котором	4	5
35	так и	4	5
36	а не	7	5
37	можно было	2	5
38	его и	2	4
39	для нас	2	4
40	но это	3	4
41	в ней	4	4
42	и они	3	4
43	тем что	2	4
44	все эти	3	4
45	уже на	2	3
46	все это	5	3
47	в себя	2	3
48	того что	5	3
49	мы не	2	3
50	что мы	4	3
51	и это	2	3
52	тот кто	2	2
53	не было	3	2
54	могут быть	2	2
55	это не	2	2
56	в жизни	3	2
57	ни в	3	2
58	да и	2	2
59	как и	4	2
60	одна из	2	2
61	но не	2	2
62	того чтобы	2	2
63	вместо того	2	2
64	и для	3	2
65	хотя бы	3	2
66	ее в	2	2
67	во всех	3	2
68	а с	2	2
69	превращается в	3	2
70	к чему	3	2
71	его не	2	2
72	и то	2	2
73	нет еще	2	2
74	вера в	2	2
75	нет ничего	3	2
76	их в	3	2
77	о смысле	4	2
