N	3gram	Kanaev_Sov	VrazhdaK
1	и все же	1	5
2	то же время	1	4
3	в то же	1	4
4	в связи с	1	3
5	в том что	1	2
6	не может быть	4	2
7	с точки зрения	5	2
8	все же в	1	1
9	не было бы	1	1
10	в свою очередь	2	1
11	с помощью которых	2	1
12	можно говорить об	1	1
13	и во всей	1	1
14	равно как и	1	1
15	так же как	1	1
16	что в ней	1	1
17	быть и речи	1	1
18	и в то	1	1
19	по крайней мере	1	1
20	шаг за шагом	1	1
21	в этом смысле	1	1
22	стремится быть объективным	1	1
23	но мы знаем	1	1
24	до сих пор	1	1
25	на этот раз	1	1
26	во всяком случае	2	1
27	тем не менее	2	1
28	в известном смысле	1	1
29	и не может	1	1
30	и в этом	1	1
31	может быть и	2	1
