N	3gram	Bakhtin_Pr_1	Sovremen
1	с точки зрения	13	5
2	в каждом отдельном	1	5
3	в зависимости от	5	4
4	не может быть	4	4
5	что же это	1	3
6	с самого начала	1	3
7	друг с другом	1	2
8	во всяком случае	3	2
9	в свою очередь	1	2
10	же это за	1	2
11	может быть и	1	2
12	в настоящее время	1	2
13	то же самое	1	2
14	зависимости от различных	1	1
15	собственную точку зрения	1	1
16	несмотря на кажущуюся	1	1
17	мы видим не	1	1
18	в известном смысле	1	1
19	и в этом	5	1
20	и есть то	1	1
21	по крайней мере	1	1
22	не могут быть	1	1
23	всяком случае не	1	1
24	не в том	1	1
25	ни в один	1	1
26	оно может быть	2	1
27	какой бы то	1	1
28	дело в том	1	1
29	по отношению к	8	1
30	на самом деле	4	1
31	могут быть поняты	1	1
32	он может быть	2	1
33	в этом смысле	10	1
34	так же как	1	1
35	теперь мы должны	1	1
36	а не только	1	1
37	в этом случае	1	1
38	не было бы	1	1
39	данном случае и	1	1
40	до сих пор	2	1
41	то же время	9	1
42	они не могут	1	1
43	раз и навсегда	1	1
44	и в то	2	1
45	сами по себе	3	1
46	образом все элементы	1	1
47	его и не	1	1
48	бы то ни	2	1
49	своими собственными законами	1	1
50	и именно в	1	1
51	таким образом все	2	1
52	она и не	1	1
53	прежде всего необходимо	1	1
54	может находиться в	1	1
55	но все эти	1	1
56	можно было бы	2	1
57	и не может	2	1
58	в самом деле	2	1
59	но все же	2	1
60	что дело идет	1	1
61	только и могут	1	1
62	может быть только	1	1
63	в то же	9	1
64	и могут быть	1	1
65	лишь там где	2	1
66	в себе в	1	1
67	в том что	6	1
68	в данном случае	2	1
69	на этот вопрос	1	1
70	она не может	1	1
71	дело идет о	3	1
72	то ни было	1	1
73	именно в том	1	1
74	если бы эти	1	1
