N	2gram	Berdyaev_O_1	slovoVRo
1	и в	19	41
2	в нем	10	30
3	могут быть	3	19
4	но и	13	16
5	и не	13	16
6	не только	11	16
7	а не	11	15
8	может быть	11	14
9	не может	4	14
10	и его	4	14
11	и на	2	14
12	в его	7	13
13	до конца	7	12
14	как бы	3	12
15	в этом	12	12
16	так и	2	11
17	все эти	4	9
18	прежде всего	9	8
19	но в	2	8
20	не в	11	7
21	отношение к	5	7
22	с ним	3	7
23	в своей	2	7
24	все же	2	7
25	это не	3	6
26	а в	5	6
27	в самом	5	5
28	все это	6	5
29	и к	2	5
30	к нему	3	5
31	он в	2	5
32	и от	3	4
33	лишь в	7	4
34	и с	2	4
35	в которой	2	4
36	и все	10	4
37	с его	4	4
38	как и	6	4
39	еще не	3	4
40	и потому	2	4
41	и для	2	4
42	ничего не	2	4
43	не могут	3	3
44	никогда не	9	3
45	хотя бы	3	3
46	в том	5	3
47	для него	5	3
48	в своем	2	3
49	того что	3	3
50	в других	2	3
51	не было	9	3
52	в истории	2	3
53	о том	3	3
54	его в	2	3
55	так как	2	3
56	и там	2	3
57	у него	22	3
58	в себе	3	3
59	было бы	3	3
60	он не	7	3
61	и этим	2	3
62	и ее	3	3
63	он весь	2	2
64	что все	2	2
65	так что	2	2
66	что они	2	2
67	для того	3	2
68	хотя и	2	2
69	в этих	3	2
70	как к	2	2
71	должно быть	2	2
72	сказать что	2	2
73	потому что	9	2
74	но он	7	2
75	в романах	4	2
76	к этому	2	2
77	том что	2	2
78	и о	2	2
79	в ее	2	2
80	не есть	2	2
81	и то	2	2
82	в другом	2	2
