N	3gram	Tiupa_Teor	Formalny
1	с точки зрения	3	40
2	не может быть	5	29
3	то же время	8	20
4	в то же	8	20
5	в связи с	3	16
6	по отношению к	10	12
7	в самом деле	2	11
8	бы то ни	2	10
9	с другой стороны	6	9
10	для того чтобы	5	8
11	с одной стороны	3	8
12	более или менее	6	7
13	то ни было	2	7
14	в свою очередь	3	7
15	того или иного	6	7
16	может быть и	2	6
17	в данном случае	5	6
18	и в то	2	6
19	не только не	2	6
20	в том что	10	6
21	до известной степени	2	5
22	в значительной степени	2	5
23	в этом смысле	3	5
24	в отличие от	7	5
25	к тому что	2	5
26	тем не менее	3	4
27	не могут быть	2	4
28	подобно тому как	3	4
29	сама по себе	2	4
30	но в то	2	3
31	в том числе	3	3
32	не сводится к	9	3
33	в противном случае	2	3
34	так или иначе	5	3
35	том числе и	2	3
36	мы имеем в	3	2
37	тот или иной	3	2
38	в отношении к	2	2
39	этой точки зрения	2	2
40	как и в	2	2
41	с этой точки	2	2
42	так и не	5	2
43	в таком случае	2	2
44	и тем самым	2	2
45	всех без исключения	3	2
46	тех или иных	3	2
47	имеем в виду	3	2
