N	4gram	Medvedev_F_1	Problema
1	в то же время	8	3
2	с точки зрения самого	1	2
3	во всех своих моментах	1	2
4	бы то ни было	1	2
5	не может и не	1	2
6	и в то же	1	2
7	в художественном произведении как	1	2
8	на произведение в его	1	1
9	действительностью познания и поступка	1	1
10	сами по себе не	1	1
11	с одной стороны и	4	1
12	и с точки зрения	1	1
13	что бы то ни	2	1
14	в строгом смысле этого	1	1
15	истории того или иного	1	1
16	по отношению к этой	1	1
17	и не может быть	2	1
18	на самом же деле	1	1
19	должно быть соотнесено с	1	1
20	не выходит за пределы	1	1
21	в своем творчестве если	1	1
22	бы то ни стало	2	1
23	не выходя за его	1	1
24	в его отличии от	1	1
25	отношения к материалу к	1	1
26	по сравнению с предшествующим	1	1
27	выходя за его пределы	1	1
28	произведение в его целом	1	1
29	не говоря уже о	1	1
30	отвлекаясь по возможности от	1	1
31	идет вовсе не о	1	1
32	во что бы то	2	1
33	отсюда отнюдь не следует	1	1
34	но в то же	2	1
35	строгом смысле этого слова	1	1
36	в настоящее время в	3	1
37	произведения в большинстве случаев	1	1
38	в его целом ни	1	1
39	в психике художника и	1	1
