N	3gram	Bakhtin_Pr	Formalny
1	с точки зрения	13	40
2	не может быть	8	29
3	то же время	8	20
4	в то же	8	20
5	по отношению к	5	12
6	так и в	2	11
7	в зависимости от	3	10
8	в большинстве случаев	9	9
9	и не может	6	9
10	с другой стороны	3	9
11	до сих пор	8	8
12	более или менее	3	7
13	может быть и	2	6
14	смысле этого слова	2	6
15	и в то	3	6
16	в том что	6	6
17	в этом смысле	5	5
18	в этом романе	2	5
19	с самого начала	4	4
20	тем не менее	2	4
21	нет и не	3	4
22	но и в	2	4
23	в одной плоскости	2	4
24	сама по себе	2	4
25	ровно ничего не	2	3
26	в пределах одного	6	3
27	но в то	3	3
28	друг с другом	6	3
29	в том числе	15	3
30	нам кажется что	3	3
31	и в дальнейшем	2	3
32	на самом же	2	3
33	том числе и	13	3
34	самом же деле	2	3
35	мы имеем в	3	2
36	все то что	2	2
37	и до сих	2	2
38	и прежде всего	5	2
39	в строгом смысле	2	2
40	в широком смысле	2	2
41	нужно сказать что	2	2
42	в отношении к	2	2
43	и наконец в	2	2
44	как и в	4	2
45	место в жизни	2	2
46	даже и не	3	2
47	друг от друга	2	2
48	мы видели что	2	2
49	хотя бы и	2	2
50	в собственном смысле	3	2
51	и в их	2	2
52	дело в том	3	2
53	тех или иных	2	2
54	имеем в виду	3	2
