N	2gram	Berdyaev_M_2	Morfolog
1	может быть	21	52
2	не может	15	17
3	т е	4	16
4	в этих	2	16
5	и в	46	13
6	в этом	20	13
7	так как	8	12
8	мы видим	2	11
9	связи с	2	11
10	прежде всего	12	9
11	не всегда	2	9
12	так и	4	9
13	то же	5	9
14	и не	18	9
15	а не	13	9
16	что и	4	8
17	вопрос о	6	7
18	и этим	2	7
19	это не	5	6
20	и здесь	6	6
21	в том	3	6
22	а в	2	6
23	подобно тому	2	6
24	тому как	2	5
25	в образе	3	5
26	то перед	2	5
27	мы увидим	2	5
28	во всех	2	5
29	как бы	8	5
30	один из	5	5
31	то что	5	5
32	потому что	12	5
33	что в	4	4
34	отношению к	2	4
35	на его	2	4
36	не только	18	4
37	как в	7	4
38	так же	6	4
39	по отношению	2	4
40	как и	13	4
41	хотя и	2	4
42	тем что	3	4
43	точки зрения	2	4
44	на этом	2	4
45	также и	4	4
46	его в	3	4
47	ничего не	2	4
48	связана с	7	3
49	сам он	2	3
50	если бы	3	3
51	в нашем	7	3
52	с собой	2	3
53	том что	4	3
54	но это	8	3
55	что они	3	3
56	того чтобы	4	3
57	в сущности	2	3
58	он не	10	3
59	ни в	3	3
60	но и	15	3
61	от того	3	3
62	к чему	4	3
63	к нему	2	3
64	и для	7	3
65	друг друга	12	3
66	но в	10	3
67	совсем не	5	2
68	все ли	4	2
69	и за	2	2
70	хотя бы	7	2
71	та же	10	2
72	что он	7	2
73	и к	7	2
74	то в	2	2
75	только в	3	2
76	они и	4	2
77	нельзя было	2	2
78	есть и	3	2
79	смысле слова	3	2
80	момент в	3	2
81	для него	18	2
82	означает что	4	2
83	не от	2	2
84	но для	2	2
85	как то	2	2
86	себя и	3	2
87	оно не	2	2
88	не существует	3	2
89	себя в	4	2
90	быть и	2	2
91	вопроса о	4	2
92	и тогда	3	2
93	не означает	2	2
94	и что	2	2
95	к себе	2	2
96	того что	6	2
97	для того	5	2
98	уже не	4	2
99	не имеет	4	2
100	и его	5	2
101	можно было	2	2
102	самого себя	4	2
103	не знает	9	2
104	о том	3	2
105	друг за	2	2
106	сказать что	3	2
107	который может	2	2
