N	2gram	Tiupa_Disk_2	VeschiIm
1	не может	9	33
2	не только	10	31
3	может быть	16	29
4	и не	15	28
5	и в	16	26
6	то что	5	24
7	а не	14	20
8	только в	3	14
9	но и	11	12
10	все же	6	12
11	в себя	2	12
12	и то	4	12
13	и ее	3	12
14	что же	2	11
15	то же	6	10
16	уже не	3	10
17	в ней	2	10
18	как бы	4	10
19	потому что	4	10
20	в том	8	9
21	и с	2	9
22	прежде всего	7	9
23	но это	3	8
24	с ее	2	8
25	в себе	19	8
26	и это	2	8
27	со своим	2	7
28	также и	3	7
29	говорить о	2	7
30	в то	5	7
31	его в	3	7
32	том что	10	7
33	себя в	6	7
34	в этом	16	7
35	и как	3	6
36	что в	5	6
37	для него	5	6
38	жизни и	3	6
39	со стороны	10	6
40	должно быть	2	6
41	в результате	2	6
42	точки зрения	4	6
43	но в	11	6
44	одно и	2	6
45	не менее	7	5
46	содержит в	2	5
47	должна быть	2	5
48	это не	3	5
49	не в	3	5
50	еще не	6	5
51	а в	2	5
52	отнюдь не	6	5
53	но не	7	5
54	того же	2	5
55	для себя	2	5
56	и для	2	5
57	себя с	2	5
58	в своем	5	4
59	с другой	5	4
60	же время	5	4
61	из них	3	4
62	о том	4	4
63	и все	3	4
64	бытия и	2	4
65	как и	16	4
66	на почве	2	4
67	что и	2	4
68	с точки	2	4
69	в данном	7	4
70	никогда не	2	3
71	можно сказать	3	3
72	момент в	2	3
73	было в	3	3
74	в нем	7	3
75	отношение к	2	3
76	все это	2	3
77	их в	2	3
78	реальности и	2	3
79	мы имеем	2	3
80	в одном	4	3
81	что он	2	3
82	в своей	6	3
83	вместе с	2	3
84	так и	9	3
85	а с	5	3
86	в той	2	3
87	тому как	2	3
88	подобно тому	2	3
89	я в	5	3
90	в основе	4	3
91	в частности	12	2
92	что на	2	2
93	ни в	7	2
94	основе своей	2	2
95	но она	3	2
96	данном случае	6	2
97	чем не	2	2
98	в своих	6	2
99	то есть	12	2
100	ни к	5	2
101	о чем	2	2
102	а потом	2	2
103	жизни в	3	2
104	не с	2	2
105	в качестве	16	2
106	не нужно	2	2
107	и может	3	2
108	он не	3	2
109	но уже	2	2
110	как в	8	2
111	приводит к	3	2
112	тогда как	11	2
113	может и	2	2
114	и его	3	2
115	той же	2	2
116	тут же	2	2
117	дело в	2	2
