N	2gram	Tiupa_Anal_1	Myshleni
1	в том	27	42
2	том что	12	35
3	в процессе	2	27
4	таким образом	3	25
5	точки зрения	6	24
6	в этом	13	24
7	в качестве	31	21
8	и в	18	20
9	что в	5	19
10	в основе	6	17
11	то же	9	16
12	то что	6	15
13	не только	15	15
14	как мы	2	13
15	с другой	4	12
16	при этом	12	12
17	в их	5	12
18	потому что	2	12
19	может быть	29	12
20	в целом	5	11
21	в его	13	11
22	с точки	4	11
23	этого слова	7	11
24	того что	4	10
25	на основе	2	10
26	так как	2	10
27	и то	2	10
28	в себе	11	10
29	только в	6	10
30	и как	5	9
31	одной стороны	3	9
32	но и	17	9
33	другой стороны	2	9
34	с одной	3	9
35	между тем	5	9
36	могли бы	2	9
37	как и	13	9
38	того же	4	9
39	что и	3	9
40	и не	21	8
41	тогда когда	2	8
42	было бы	2	8
43	вместе с	4	8
44	в собственном	3	7
45	и более	4	7
46	как бы	5	7
47	этом отношении	2	7
48	что мы	3	7
49	же самое	2	7
50	в своей	6	7
51	самом деле	2	7
52	тем самым	7	7
53	а не	17	7
54	того чтобы	3	7
55	могут быть	4	7
56	одного и	2	6
57	к тому	7	6
58	тому же	4	6
59	такого рода	5	6
60	в самом	6	6
61	не может	22	6
62	и на	5	6
63	по своей	6	6
64	что он	3	6
65	в силу	3	6
66	на каждом	2	6
67	той же	2	6
68	в частности	19	5
69	никогда не	2	5
70	это не	6	5
71	выступает в	2	5
72	не является	2	5
73	только не	2	5
74	если бы	3	5
75	и его	5	5
76	между собой	2	5
77	и к	3	5
78	все же	4	5
79	и того	5	5
80	о том	5	5
81	так и	4	5
82	для того	4	5
83	все эти	2	5
84	в нашем	3	4
85	как уже	2	4
86	в ходе	3	4
87	из них	2	4
88	роль в	2	4
89	как он	3	4
90	в сознании	2	4
91	и с	2	4
92	состоит в	11	4
93	по выражению	2	4
94	его к	2	4
95	в сущности	6	4
96	не в	14	4
97	которые в	2	4
98	в области	4	4
99	на этом	2	3
100	не могут	3	3
101	в какой	2	3
102	на все	2	3
103	на место	2	3
104	в этой	5	3
105	и является	2	3
106	один из	2	3
107	со стороны	2	3
108	именно в	4	3
109	столь же	4	3
110	должно быть	2	3
111	на его	2	3
112	оно может	3	3
113	но в	8	3
114	отнюдь не	15	3
115	представляет собой	16	3
116	но не	10	3
117	как известно	3	3
118	не являются	2	3
119	себя в	6	3
120	научного мышления	2	3
121	ни в	4	3
122	в равной	3	3
123	в которой	2	3
124	место в	3	2
125	такой же	2	2
126	том числе	3	2
127	которое дает	2	2
128	прежде всего	6	2
129	это означает	3	2
130	для него	2	2
131	случае не	2	2
132	том чтобы	7	2
133	одним из	3	2
134	в нем	3	2
135	к нему	3	2
136	данном случае	2	2
137	отличается от	2	2
138	в отличие	6	2
139	собой не	2	2
140	не просто	2	2
141	анализа мы	2	2
142	а в	9	2
143	также и	2	2
144	поведения в	2	2
145	является по	2	2
146	в данном	2	2
147	из этих	2	2
148	в начале	2	2
149	говоря о	2	2
150	мы имеем	6	2
151	между двумя	3	2
152	которая в	3	2
153	еще не	3	2
154	свое время	2	2
155	далеко не	6	2
156	в свое	2	2
157	а также	3	2
158	даже в	3	2
159	не есть	8	2
160	как говорит	2	2
161	и т.п	5	2
162	и тогда	2	2
163	тогда как	14	2
164	а с	3	2
165	в той	8	2
166	может служить	2	2
167	в таком	3	2
168	тому как	3	2
169	подобно тому	3	2
170	вопроса о	3	2
171	здесь не	2	2
172	едва ли	2	2
173	отличие от	6	2
