2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram
никогда не	9	8
в стиле	4	3
так же	2	8
к нему	5	14
со всею	3	2
для достоевского	3	4
к тому	4	5
себя как	3	2
во внутреннем	2	2
с этим	2	2
друг на	2	2
но на	2	4
герой не	2	2
и как	2	3
точки зрения	13	8
из подполья	2	36
в целом	2	5
в диалоге	3	5
как бы	22	27
а что	5	3
что в	4	7
уже не	3	2
и речь	2	2
тон и	5	2
в жизни	3	2
отличается от	2	2
этом смысле	2	4
его и	2	3
или как	4	2
лежит в	2	2
той же	3	2
к чужому	7	4
внутреннего диалога	5	15
в него	7	3
было бы	5	2
к самому	3	3
сам и	2	2
только на	3	4
таким образом	5	5
а в	5	5
ни одного	4	5
что я	6	15
достоевского в	4	3
оно должно	2	2
я для	4	2
отношению к	5	6
и слова	2	2
на него	3	7
мире достоевского	2	3
конечно не	2	2
к себе	7	17
в себе	5	6
только в	4	6
с оглядкой	4	3
отчего же	3	2
отношении к	2	7
вот как	4	3
и сам	7	5
знает что	2	3
или иной	3	2
мы увидим	5	2
внутренний диалог	2	11
и это	4	4
и его	8	16
и только	3	2
до конца	4	3
слово рассказчика	2	3
не может	18	19
он не	9	15
реплики и	2	2
знаю что	4	2
по себе	11	3
я сам	2	7
со всеми	3	2
а как	4	2
в них	4	2
со смердяковым	2	4
тем что	3	4
хотя и	5	3
у меня	5	6
о своей	3	2
же время	5	12
самим собою	5	9
слов в	2	3
в котором	6	3
слова в	12	7
среди других	2	2
в том	6	3
но в	10	16
говорили что	2	3
но он	4	3
все же	3	7
человек и	2	2
к одному	6	3
ни было	2	4
и ее	3	2
чужая реплика	2	3
двух реплик	2	2
в двойнике	2	8
что это	2	5
наконец в	3	3
я ведь	4	5
его в	3	4
так и	3	6
с точки	8	4
второй голос	11	5
в последнем	3	2
в форме	2	2
в одной	3	3
и в	43	34
в такой	2	3
другой стороны	3	3
все это	5	16
при этом	6	4
чужого слова	24	5
словом и	2	3
только так	2	2
и с	5	15
уже в	2	3
да и	5	4
но так	2	3
же и	4	2
что он	13	23
не знает	3	6
но для	3	3
в этом	13	16
должно быть	4	3
второго голоса	7	3
героя и	5	9
мы и	2	2
еще не	9	4
в то	7	12
т е	26	12
речь голядкина	3	2
как раз	4	4
в тоне	2	2
в самом	7	8
чужой голос	5	3
отличие от	4	2
в творчестве	2	3
его слова	2	3
сам знаю	3	3
конце концов	2	3
слово о	4	7
во всех	4	2
т п	9	6
не принимает	2	4
себе и	4	5
себе самому	4	18
и не	29	29
за пределы	3	2
слово не	8	2
тона и	2	2
в виде	3	4
слово с	5	6
и наконец	6	5
большинстве случаев	8	3
в одном	12	5
из его	2	4
в произведениях	3	2
в глаза	2	3
не как	6	3
героя но	2	2
с человеком	2	2
и без	2	2
бы в	5	3
но и	14	12
в другом	7	8
себя и	3	8
рассказа в	3	8
в каждом	11	3
слова и	12	10
на меня	2	4
двух голосов	5	5
не могу	2	3
когда он	3	2
к другому	5	20
в слове	5	5
с ними	2	6
еще более	2	2
в его	10	22
с ним	3	8
в той	5	2
во время	4	2
на друга	2	2
к третьему	2	2
диалога в	2	2
этого слова	2	7
как его	4	2
перебой голосов	4	2
по отношению	5	5
но этот	2	2
собою и	2	4
все его	2	2
а с	2	3
другого человека	4	5
в пределах	16	6
самим собой	3	6
далеко не	4	3
такой же	3	3
что такое	2	2
каждое слово	2	2
его собственного	2	2
достоевского нет	2	3
всего этого	2	2
в нем	12	19
в своей	4	3
м б	6	5
это не	3	5
переходит в	2	2
прежде всего	10	15
но это	4	4
но не	5	4
если бы	3	4
тот же	3	2
и т	13	8
для него	8	13
своему предмету	4	6
и так	2	5
у него	6	4
каждый из	2	2
слова мы	2	2
собственные слова	2	2
так чтобы	4	3
так сказать	6	2
так что	5	5
в большинстве	9	2
во всем	3	3
произведениях достоевского	4	2
лишь в	8	5
героя в	3	5
и для	3	8
от чужого	2	3
же не	4	2
быть и	2	2
рассказ в	4	2
вопрос о	2	2
например в	2	2
он и	3	5
слова о	2	4
чужой реплики	2	2
внутреннем диалоге	2	3
себе как	2	2
по своему	2	3
друг с	4	2
голядкина с	6	2
даже в	3	5
внутренней речи	2	4
о себе	7	18
я не	4	7
ивана карамазова	2	3
что не	2	7
для этого	2	3
что же	7	8
как он	2	3
то что	7	11
и мысли	2	2
с другом	4	2
рядом с	5	4
он говорил	2	4
он сам	3	5
и свой	3	2
это слово	5	5
я вам	3	5
сливается с	2	3
с его	4	6
не только	11	10
он только	2	3
том что	2	3
в рассказ	2	3
той или	3	2
с другим	2	11
и даже	3	7
а не	7	9
и на	10	6
он есть	2	2
во всяком	2	5
героев достоевского	4	4
сама по	4	2
особенно в	2	2
для себя	2	6
в романах	3	3
ничего не	3	4
как слово	2	2
тому же	3	2
два голоса	2	3
ибо и	2	2
в сущности	9	11
сказать что	2	2
мы уже	3	6
между тем	3	3
слова как	3	2
голосов в	9	3
и вы	2	4
раз и	2	3
и он	5	2
свой предмет	7	2
в человеке	3	2
входит в	2	2
отношение к	2	6
пределах одного	9	2
не входит	2	2
того что	2	5
в отношении	3	9
не менее	3	3
в своем	4	2
тем не	2	2
романах достоевского	2	3
то же	8	14
переходим к	3	4
творчестве достоевского	3	5
в которых	2	2
другого в	3	2
того же	3	2
себе самом	3	5
он это	2	2
так как	4	4
чужого сознания	2	3
точек зрения	4	2
для другого	3	2
у достоевского	14	13
диалог с	2	3
вовсе не	5	11
как мы	10	7
все эти	5	4
всем этим	2	2
его к	2	3
о нем	6	2
не в	11	9
конечно в	2	2
но все	2	5
сознания и	3	3
авторское слово	9	2
может быть	23	19
ни в	2	4
с собою	2	6
а между	2	3
он с	3	4
слово героя	3	4
и все	6	19
о том	5	2
но зато	3	3
более того	4	2
и к	3	12
я и	2	2
что у	2	6
и со	3	2
уже говорили	3	3
чужое слово	45	2
из них	2	5
ну так	4	5
достоевского это	3	2
диалог ивана	2	5
что и	3	5
как в	2	4
слово в	8	2
речи героя	2	2
как и	14	18
т д	4	2
бы не	2	2
слово слово	3	2
достоевского и	2	3
самом деле	5	13
слова с	7	3
и то	2	3
с самим	8	14
та же	2	2
и другого	2	3
в виду	3	3
их в	4	3
это я	2	5
кажется что	3	2
бы он	2	4
бы и	2	4
в сторону	2	2
голосов и	4	2
в отличие	4	2
внутренней полемики	2	2
не хочет	3	2
в конце	2	5
хотя бы	2	5
лишь на	2	2
там где	4	7
ведь и	7	3
и что	5	5
с другой	4	4
