N	2gram	Propp_Isto_4	Narrotol
1	не только	15	26
2	а не	6	17
3	представляет собой	2	16
4	но и	12	15
5	тогда как	4	15
6	в том	3	14
7	при этом	3	14
8	в качестве	7	14
9	и не	9	14
10	том что	3	13
11	и в	26	13
12	в этом	7	13
13	такого рода	2	12
14	в частности	2	11
15	только в	3	11
16	может быть	14	10
17	в данном	3	10
18	так и	10	9
19	а в	8	9
20	то что	16	8
21	в себе	2	8
22	в тексте	2	8
23	не может	6	8
24	не в	5	8
25	к себе	3	7
26	никогда не	2	6
27	в своем	2	6
28	того что	2	6
29	в его	5	6
30	данном случае	3	6
31	героя в	7	6
32	все же	9	6
33	у него	5	6
34	как бы	3	6
35	а также	3	6
36	ничего не	5	6
37	но в	5	6
38	тем не	2	5
39	что он	10	5
40	хотя и	2	5
41	он не	7	5
42	и тем	2	5
43	в нем	2	5
44	на него	3	5
45	как в	7	5
46	в форме	2	5
47	таким образом	10	5
48	с другой	4	5
49	о том	4	5
50	перед нами	3	4
51	что это	2	4
52	не менее	2	4
53	если бы	2	4
54	об этом	7	4
55	же в	3	4
56	как и	7	4
57	все что	4	4
58	у нее	2	4
59	что в	14	4
60	не к	2	4
61	в своей	4	4
62	то же	8	4
63	уже не	5	4
64	и у	5	4
65	в силу	5	4
66	в другом	5	4
67	в этой	2	4
68	и все	2	4
69	как это	3	4
70	а как	2	3
71	мы имеем	7	3
72	это не	5	3
73	что я	2	3
74	что они	6	3
75	одна из	2	3
76	но не	5	3
77	от которого	2	3
78	в целом	2	3
79	на том	2	3
80	все эти	3	3
81	и даже	4	3
82	и по	5	3
83	и его	10	3
84	с ними	5	3
85	с этой	2	3
86	сказать что	2	3
87	по своей	2	3
88	которой он	2	3
89	же как	13	2
90	о чем	3	2
91	должен был	3	2
92	однако в	2	2
93	что у	3	2
94	превращается в	7	2
95	хотя бы	2	2
96	представления о	3	2
97	из этих	3	2
98	точно так	5	2
99	вовсе не	4	2
100	и здесь	5	2
101	на то	3	2
102	к своему	3	2
103	для нас	3	2
104	говорит о	2	2
105	и т	27	2
106	и более	3	2
107	должна быть	2	2
108	еще не	6	2
109	было бы	2	2
110	и он	3	2
111	ему в	2	2
112	но для	2	2
113	что она	3	2
114	не могло	2	2
115	что и	9	2
116	он может	2	2
117	себя в	2	2
118	в современной	2	2
119	в самую	2	2
120	в других	2	2
121	у нас	2	2
122	те же	3	2
123	и что	5	2
124	только что	3	2
125	не имеет	3	2
126	по его	2	2
127	так же	18	2
128	но это	3	2
129	не случайно	2	2
130	в виде	2	2
131	но он	4	2
132	во время	7	2
133	представляют собой	4	2
134	как он	6	2
135	здесь не	4	2
136	потому что	6	2
137	в области	2	2
138	могло бы	2	2
139	том как	2	2
