N	2gram	Vygotskiy__7	Problema
1	то что	24	42
2	вовсе не	2	35
3	и в	26	32
4	и не	18	31
5	не есть	4	29
6	не менее	4	19
7	в этом	29	19
8	тем не	3	18
9	не только	24	17
10	потому что	16	16
11	по себе	3	15
12	а не	6	15
13	в себе	9	15
14	как бы	6	14
15	может быть	7	14
16	у нас	2	14
17	но в	4	14
18	и тем	6	13
19	в нем	2	13
20	сказать что	8	13
21	что мы	9	13
22	как раз	3	13
23	что в	12	12
24	вещи и	2	12
25	том что	17	12
26	так и	3	12
27	также и	2	11
28	о том	4	11
29	так как	14	11
30	если мы	5	11
31	то же	8	10
32	прежде всего	7	10
33	в этой	3	10
34	об этом	3	10
35	ничего не	2	10
36	но не	3	9
37	в том	18	9
38	это есть	4	9
39	но и	11	9
40	и что	6	9
41	так же	14	9
42	же самое	5	9
43	по своему	9	9
44	еще не	4	9
45	что же	2	9
46	того чтобы	19	9
47	в данном	5	9
48	на то	4	8
49	есть только	2	8
50	данном случае	5	8
51	не может	11	8
52	все эти	6	8
53	и о	3	8
54	было бы	6	8
55	в своей	3	8
56	для того	18	8
57	но это	3	8
58	и ее	2	8
59	содержит в	3	7
60	никогда не	4	7
61	ни в	2	7
62	и является	3	7
63	все это	3	7
64	того что	14	7
65	что он	8	7
66	во всех	6	7
67	как мы	14	7
68	во всяком	2	7
69	тем что	9	7
70	только в	8	7
71	и есть	2	6
72	в конце	4	6
73	так что	4	6
74	в самом	9	6
75	в виду	5	6
76	то и	4	6
77	таким образом	23	6
78	это не	3	6
79	и здесь	2	6
80	и то	7	6
81	его в	2	6
82	как это	5	6
83	о чем	4	6
84	есть не	3	6
85	в то	3	6
86	совершенно не	2	6
87	в его	4	6
88	на самом	3	6
89	самом деле	6	6
90	перед нами	2	5
91	можно ли	2	5
92	можно сказать	5	5
93	подобного рода	2	5
94	для нас	2	5
95	есть в	3	5
96	внешняя сторона	2	5
97	мы уже	3	5
98	в котором	4	5
99	что она	8	5
100	мы должны	6	5
101	в сознании	6	5
102	и которые	2	5
103	с тем	5	5
104	не является	3	5
105	то в	2	5
106	связи с	4	5
107	и весь	2	4
108	казалось бы	2	4
109	именно в	6	4
110	тому что	9	4
111	точно так	2	4
112	не в	4	4
113	мы и	2	4
114	один из	2	4
115	мы говорили	2	4
116	в их	2	4
117	и только	4	4
118	мышления и	9	4
119	этого термина	2	4
120	или в	2	4
121	а в	2	4
122	с которыми	2	4
123	если бы	5	4
124	никак не	5	4
125	как в	4	4
126	только на	3	4
127	входит в	2	4
128	даже если	2	4
129	перейти к	4	4
130	тем самым	8	4
131	и для	5	4
132	мы можем	3	4
133	уже в	2	3
134	прежде чем	2	3
135	что это	6	3
136	что не	2	3
137	в этих	2	3
138	в отношении	2	3
139	с другой	4	3
140	что все	2	3
141	его от	2	3
142	что его	2	3
143	что они	10	3
144	случае не	2	3
145	в действительности	2	3
146	несмотря на	2	3
147	но для	2	3
148	для этого	3	3
149	мы говорим	2	3
150	и его	12	3
151	что оно	4	3
152	только и	3	3
153	в самой	3	3
154	действительности в	2	3
155	в которых	2	3
156	с этим	2	3
157	но он	2	3
158	точки зрения	28	3
159	и следовательно	5	3
160	с ним	3	3
161	только не	11	3
162	по этому	4	3
163	для себя	24	3
164	и во	4	3
165	в случае	2	3
166	о которых	2	3
167	в ее	6	3
168	как и	15	3
169	только потому	3	3
170	учение о	3	3
171	до сих	3	3
172	но именно	2	3
173	мы в	3	3
174	к тому	7	3
175	он не	3	3
176	и делает	2	3
177	сих пор	3	3
178	этому поводу	3	3
179	может и	2	3
180	того как	2	3
181	во всей	2	3
182	к нему	3	3
183	с точки	21	3
184	можно было	2	3
185	в чем	3	3
186	не могут	4	2
187	же как	8	2
188	что если	2	2
189	друг другу	3	2
190	она является	2	2
191	нам о	2	2
192	само собой	2	2
193	этом случае	14	2
194	это мы	2	2
195	в математике	2	2
196	но только	3	2
197	является не	2	2
198	момент в	3	2
199	оказывается что	2	2
200	для него	3	2
201	на его	2	2
202	но если	2	2
203	и до	2	2
204	мы находим	3	2
205	которых мы	2	2
206	не имеет	2	2
207	как такового	2	2
208	должно быть	2	2
209	что для	2	2
210	и с	5	2
211	одно из	5	2
212	и ничего	2	2
213	из этих	3	2
214	к его	2	2
215	в первом	3	2
216	как для	2	2
217	который мы	2	2
218	с собой	3	2
219	говорили выше	2	2
220	нашего исследования	5	2
221	могут быть	2	2
222	и заключается	3	2
223	о его	3	2
224	мы видим	3	2
225	и при	2	2
226	в качестве	5	2
227	ведь это	2	2
228	она не	5	2
229	со всеми	2	2
230	о своем	2	2
231	чем перейти	2	2
232	в сущности	9	2
233	и потому	3	2
234	гораздо больше	2	2
235	нет и	3	2
236	гораздо более	4	2
237	вместе с	12	2
238	ее в	8	2
239	только что	5	2
240	этого понятия	2	2
241	сказать только	2	2
242	естественно что	3	2
243	мы не	7	2
244	с другими	3	2
245	что этот	5	2
246	нас в	2	2
247	является в	5	2
248	и другое	3	2
249	вопроса о	2	2
250	которые в	2	2
251	едва ли	4	2
252	в которой	11	2
253	в области	4	2
254	учения о	4	2
255	не можем	4	2
