N	3gram	Vinokur_St_2	Otkroven
1	для того чтобы	5	3
2	и в этом	2	2
3	что у него	1	2
4	с тем что	2	2
5	ни у кого	1	2
6	в другом месте	2	1
7	но он и	1	1
8	по сравнению с	1	1
9	не в том	2	1
10	в этих словах	2	1
11	том что в	2	1
12	друг к другу	1	1
13	в самом деле	2	1
14	том-то и дело	1	1
15	и в том	1	1
16	он не только	1	1
17	считать установленным что	1	1
18	он попал в	1	1
19	в которую он	1	1
20	во всяком случае	3	1
21	сам по себе	1	1
22	действующих лиц в	1	1
23	после того как	4	1
24	о том что	11	1
25	в этом отношении	9	1
26	то что в	2	1
27	и все это	1	1
28	характере и в	1	1
29	к одной женщине	1	1
30	и характер его	1	1
31	в том что	16	1
32	на то что	2	1
33	в силе и	1	1
34	он никогда не	1	1
35	в том-то и	1	1
36	вокруг которого сосредоточивается	1	1
37	вместо того чтобы	1	1
38	или лучше сказать	2	1
39	было не по	1	1
40	хотя бы даже	1	1
41	не потому ли	2	1
