N	2gram	Medvedev_S	Tragedij
1	и в	3	18
2	в этом	5	9
3	не только	3	8
4	и не	1	7
5	может быть	2	7
6	как бы	2	7
7	что он	1	6
8	у него	1	6
9	же время	1	6
10	и его	1	6
11	это не	1	5
12	что это	1	5
13	так и	1	5
14	все же	1	5
15	то же	2	5
16	как и	1	5
17	не может	1	5
18	в то	1	5
19	что в	2	4
20	все это	7	4
21	прежде всего	1	4
22	еще не	2	4
23	но и	2	4
24	том что	2	4
25	и что	2	4
26	то что	2	4
27	в этой	1	4
28	в целом	1	4
29	один из	1	3
30	в его	3	3
31	с ним	1	3
32	в конце	2	3
33	и как	1	3
34	в мире	1	3
35	как будто	2	3
36	отнюдь не	1	3
37	все эти	1	3
38	в том	5	2
39	что все	1	2
40	в виде	1	2
41	его в	1	2
42	как же	3	2
43	не в	3	2
44	вряд ли	1	2
45	о том	1	2
46	перед нами	1	2
47	что эти	1	2
48	в данном	1	2
49	она должна	1	2
50	в частности	2	2
51	столь же	1	2
52	что она	1	2
53	тем что	1	2
54	никогда не	1	2
55	ничего не	1	2
56	с помощью	1	1
57	по природе	2	1
58	таким образом	2	1
59	с одной	1	1
60	должна быть	2	1
61	и должно	1	1
62	тогда и	1	1
63	для нас	3	1
64	не способен	1	1
65	же не	1	1
66	в результате	2	1
67	только в	2	1
68	по себе	1	1
69	не было	1	1
70	голова его	1	1
71	мы понимаем	1	1
72	его собственная	1	1
73	же по	1	1
74	не исчерпываются	1	1
75	именно в	1	1
76	я и	1	1
77	тому что	1	1
78	из тех	1	1
79	в связи	1	1
80	в своей	1	1
81	это происходит	1	1
82	на все	1	1
83	между собой	1	1
84	в чем	1	1
85	бы в	1	1
86	в них	1	1
87	во всяком	1	1
88	и потому	1	1
89	это и	2	1
90	но как	1	1
91	более чем	3	1
92	это как	1	1
93	в котором	1	1
94	связи с	1	1
95	хотя бы	1	1
96	но не	1	1
97	между тем	1	1
98	быть не	1	1
99	перенес в	1	1
100	из себя	1	1
101	это по	1	1
102	именно на	1	1
103	связь между	1	1
104	за пределы	2	1
105	а между	1	1
106	но только	1	1
107	даже не	1	1
108	стало быть	1	1
109	литературы и	2	1
110	это же	1	1
111	именно такого	1	1
112	как искусство	1	1
113	литературы на	1	1
114	со своими	1	1
115	и о	1	1
116	и есть	1	1
117	на этот	1	1
118	что без	1	1
119	и темы	1	1
120	право на	1	1
121	в области	1	1
122	и по	1	1
123	всяком случае	1	1
124	конце концов	2	1
125	идей и	2	1
126	это неизбежно	1	1
127	не из	1	1
128	опирающаяся на	1	1
129	и наконец	1	1
130	что на	1	1
