N	4gram	Losev_Prob	EvropaiC
1	заключается в том что	4	3
2	бы то ни было	4	3
3	отличаются друг от друга	2	3
4	одного и того же	1	3
5	что до сих пор	1	2
6	с этой точки зрения	1	1
7	в то время как	6	1
8	даже в этом случае	1	1
9	во всех этих областях	1	1
10	в том что он	1	1
11	как мы сказали выше	1	1
12	одно и то же	3	1
13	каких бы то ни	1	1
14	но с другой стороны	2	1
15	дело в том что	3	1
16	может быть и не	1	1
17	даже и при таком	1	1
18	мы говорили выше что	1	1
19	и с точки зрения	2	1
20	мы видели выше есть	1	1
21	в тех случаях когда	1	1
22	в том числе и	1	1
23	о том что он	1	1
24	все дело заключается в	1	1
25	одной и той же	1	1
26	как мы видели выше	1	1
27	в том что они	1	1
28	в том виде как	4	1
29	тем не менее в	3	1
30	то время как другие	1	1
31	также и то что	5	1
32	в том или ином	2	1
