N	2gram	Nazirov_Tr_1	DiskursI
1	не только	8	28
2	в том	2	23
3	то есть	3	20
4	том что	4	19
5	может быть	7	17
6	и в	18	16
7	как и	5	16
8	в этом	9	15
9	еще не	4	14
10	но и	4	14
11	при этом	3	13
12	прежде всего	4	11
13	и не	7	11
14	как в	3	10
15	в частности	2	9
16	в нем	4	9
17	не может	5	9
18	отнюдь не	3	8
19	своего рода	3	8
20	так и	5	8
21	о том	2	8
22	но в	6	8
23	в его	3	7
24	то же	5	7
25	в себе	4	7
26	не в	2	7
27	в своем	3	6
28	и как	3	6
29	к тому	2	5
30	как бы	7	5
31	то что	4	5
32	в отличие	2	5
33	отличие от	2	5
34	и на	7	5
35	в данном	2	5
36	с его	2	4
37	что в	4	4
38	что он	6	4
39	уже не	2	4
40	для него	3	4
41	в целом	4	4
42	же время	6	4
43	отношение к	2	4
44	потому что	2	4
45	перед нами	2	3
46	столь же	2	3
47	это не	5	3
48	но при	2	3
49	что и	2	3
50	в ее	2	3
51	в самом	2	3
52	еще в	2	3
53	один из	3	3
54	все же	5	3
55	в ходе	2	3
56	и даже	4	3
57	тем что	2	3
58	в то	5	3
59	в первом	2	3
60	но они	2	2
61	по словам	2	2
62	никогда не	2	2
63	и все	4	2
64	в одном	2	2
65	в году	9	2
66	об этом	4	2
67	чем он	2	2
68	что с	3	2
69	было в	2	2
70	к области	2	2
71	с ее	3	2
72	данном случае	2	2
73	уже в	3	2
74	и что	4	2
75	и он	3	2
76	времени в	2	2
77	и его	6	2
78	в рассказе	2	2
79	и ее	2	2
80	он всегда	4	2
81	в этой	4	2
82	о чем	3	2
